Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-06-23_DayMaxProfit,2026-06-23_DayMaxLoss,2026-06-23_MaxProfit,2026-06-23_MaxLoss,2026-06-23_MaxDrawdown,2026-06-23_CurrentPnL,2026-06-24_DayMaxProfit,2026-06-24_DayMaxLoss,2026-06-24_MaxProfit,2026-06-24_MaxLoss,2026-06-24_MaxDrawdown,2026-06-24_CurrentPnL,2026-06-25_DayMaxProfit,2026-06-25_DayMaxLoss,2026-06-25_MaxProfit,2026-06-25_MaxLoss,2026-06-25_MaxDrawdown,2026-06-25_CurrentPnL,2026-06-26_DayMaxProfit,2026-06-26_DayMaxLoss,2026-06-26_MaxProfit,2026-06-26_MaxLoss,2026-06-26_MaxDrawdown,2026-06-26_CurrentPnL,2026-06-29_DayMaxProfit,2026-06-29_DayMaxLoss,2026-06-29_MaxProfit,2026-06-29_MaxLoss,2026-06-29_MaxDrawdown,2026-06-29_CurrentPnL,2026-06-30_DayMaxProfit,2026-06-30_DayMaxLoss,2026-06-30_MaxProfit,2026-06-30_MaxLoss,2026-06-30_MaxDrawdown,2026-06-30_CurrentPnL,2026-07-01_DayMaxProfit,2026-07-01_DayMaxLoss,2026-07-01_MaxProfit,2026-07-01_MaxLoss,2026-07-01_MaxDrawdown,2026-07-01_CurrentPnL,2026-07-02_DayMaxProfit,2026-07-02_DayMaxLoss,2026-07-02_MaxProfit,2026-07-02_MaxLoss,2026-07-02_MaxDrawdown,2026-07-02_CurrentPnL,2026-07-06_DayMaxProfit,2026-07-06_DayMaxLoss,2026-07-06_MaxProfit,2026-07-06_MaxLoss,2026-07-06_MaxDrawdown,2026-07-06_CurrentPnL,2026-07-07_DayMaxProfit,2026-07-07_DayMaxLoss,2026-07-07_MaxProfit,2026-07-07_MaxLoss,2026-07-07_MaxDrawdown,2026-07-07_CurrentPnL,2026-07-08_DayMaxProfit,2026-07-08_DayMaxLoss,2026-07-08_MaxProfit,2026-07-08_MaxLoss,2026-07-08_MaxDrawdown,2026-07-08_CurrentPnL,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL
IBM,Buy,252.22,289.07,TP Hit,289.07,2026-07-01,6.07,1.21,6.07,1.21,-4.86,5.04,5.09,1.57,6.07,1.21,-4.86,4.26,6.56,1.50,6.56,1.21,-5.06,2.40,8.29,2.40,8.29,1.21,-5.89,7.70,10.28,6.68,10.28,1.21,-5.89,10.22,12.03,7.49,12.03,1.21,-5.89,11.49,14.61,10.60,14.61,1.21,-5.89,14.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQV,Buy,167.81,182.76,TP Hit,182.76,2026-06-24,3.00,0.56,3.00,0.56,-2.44,2.07,8.91,4.10,8.91,0.56,-4.81,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKR,Buy,59.15,67.22,Open,,,0.32,-1.57,0.32,-1.57,-1.89,-0.79,-2.84,-6.07,0.32,-6.07,-6.39,-4.68,-2.27,-5.85,0.32,-6.07,-6.39,-3.74,-3.69,-5.29,0.32,-6.07,-6.39,-4.38,-2.81,-5.17,0.32,-6.07,-6.39,-4.80,-2.99,-6.36,0.32,-6.36,-6.68,-6.17,-6.42,-9.23,0.32,-9.23,-9.55,-9.01,-8.11,-11.63,0.32,-11.63,-11.95,-10.77,-8.06,-10.40,0.32,-11.63,-11.95,-9.97,-7.20,-9.94,0.32,-11.63,-11.95,-7.91,-2.50,-6.78,0.32,-11.63,-11.95,-2.65,-2.28,-3.99,0.32,-11.63,-11.95,-3.30,-2.21,-3.38,0.32,-11.63,-11.95,-2.69,-0.03,-2.79,0.32,-11.63,-11.95,-2.52,-0.51,-3.60,0.32,-11.63,-11.95,-2.32,-1.83,-5.41,0.32,-11.63,-11.95,-3.21,-2.79,-4.78,0.32,-11.63,-11.95,-4.41,-4.04,-6.07,0.32,-11.63,-11.95,-5.41,-4.92,-6.93,0.32,-11.63,-11.95,-6.76,-3.75,-8.00,0.32,-11.63,-11.95,-4.68,-2.57,-4.78,0.32,-11.63,-11.95,-4.31,-2.23,-5.33,0.32,-11.63,-11.95,-5.17,-1.61,-3.62,0.32,-11.63,-11.95,-3.21,5.95,1.17,5.95,-11.63,-11.95,2.43,3.11,-2.16,5.95,-11.63,-11.95,-1.17,2.23,-1.03,5.95,-11.63,-11.95,-0.73,1.64,-0.71,5.95,-11.63,-11.95,1.27,3.57,1.42,5.95,-11.63,-11.95,2.27,3.09,-0.12,5.95,-11.63,-11.95,2.81,4.56,1.74,5.95,-11.63,-11.95,4.36,5.73,3.33,5.95,-11.63,-11.95,4.26,7.03,4.97,7.03,-11.63,-11.95,6.09,6.24,4.04,7.03,-11.63,-11.95,4.06,8.66,4.82,8.66,-11.63,-11.95,8.32,9.64,8.32,9.64,-11.63,-11.95,9.57,10.06,8.61,10.06,-11.63,-11.95,8.67,8.25,5.66,10.06,-11.63,-11.95,7.25,10.18,7.30,10.18,-11.63,-11.95,9.59,10.63,8.39,10.63,-11.63,-11.95,9.72,10.23,8.47,10.63,-11.63,-11.95,8.94,10.19,8.15,10.63,-11.63,-11.95,9.01,10.03,5.97,10.63,-11.63,-11.95,6.14,8.28,5.31,10.63,-11.63,-11.95,5.39,5.61,3.35,10.63,-11.63,-11.95,4.80
SITE,Sell,106.66,104.23227743530273,TP Hit,104.23227743530273,2026-07-15,1.37,-1.80,1.37,-1.80,-3.17,1.18,-2.79,-6.94,1.37,-6.94,-8.31,-4.57,-4.81,-10.47,1.37,-10.47,-11.84,-7.81,-7.26,-9.51,1.37,-10.47,-11.84,-9.35,-5.19,-8.32,1.37,-10.47,-11.84,-7.59,-6.35,-8.14,1.37,-10.47,-11.84,-7.27,-2.85,-9.01,1.37,-10.47,-11.84,-2.94,-2.60,-5.71,1.37,-10.47,-11.84,-5.37,-2.57,-5.33,1.37,-10.47,-11.84,-3.83,-2.16,-4.25,1.37,-10.47,-11.84,-3.12,-0.27,-2.43,1.37,-10.47,-11.84,-1.35,0.81,-2.01,1.37,-10.47,-11.84,0.06,-0.19,-2.97,1.37,-10.47,-11.84,-0.27,2.20,-2.68,2.20,-10.47,-11.84,1.25,1.77,-0.82,2.20,-10.47,-11.84,0.77,2.28,0.95,2.28,-10.47,-11.84,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSH,Sell,64.27,56.631615634372324,TP Hit,56.631615634372324,2026-06-24,10.25,5.55,10.25,5.55,-4.70,8.26,11.88,8.96,11.88,5.55,-4.70,11.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDFS,Sell,64.95,62.25848020935059,TP Hit,60.21,2026-06-23,7.30,7.30,7.30,7.30,0.00,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTTR,Buy,18.48,19.36,TP Hit,19.36,2026-06-26,0.76,-2.46,0.76,-2.46,-3.22,0.38,-0.35,-2.76,0.76,-2.76,-3.52,-0.49,3.95,-0.22,3.95,-2.76,-4.17,3.79,4.76,2.60,4.76,-2.76,-4.17,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
