Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL
BIIB,Buy,199.15,214.75,TP Hit,214.75,2026-07-17,5.89,-0.71,5.89,-0.71,-6.59,4.96,1.43,-4.90,5.89,-4.90,-10.79,-3.62,-0.29,-6.59,5.89,-6.59,-12.48,-0.96,5.27,-2.25,5.89,-6.59,-12.48,4.91,7.83,2.13,7.83,-6.59,-12.48,7.83
BRKR,Sell,60.06,57.34835990905762,TP Hit,57.34835990905762,2026-07-17,2.66,-0.30,2.66,-0.30,-2.96,1.81,2.40,-0.33,2.66,-0.33,-2.99,0.38,4.06,-1.91,4.06,-1.91,-5.98,2.33,4.30,1.22,4.30,-1.91,-5.98,1.35,4.51,2.15,4.51,-1.91,-5.98,4.51
INSM,Sell,115.61,107.93504321289062,TP Hit,107.93504321289062,2026-07-14,6.57,0.05,6.57,0.05,-6.51,5.60,6.64,4.27,6.64,0.05,-6.51,6.64,,,,,,,,,,,,,,,,,,
MSEX,Buy,55.01,56.56,TP Hit,56.56,2026-07-16,1.13,-0.49,1.13,-0.49,-1.62,0.75,2.16,0.42,2.16,-0.49,-1.75,0.65,2.07,-1.04,2.16,-1.04,-3.20,-0.45,2.82,-0.16,2.82,-1.04,-3.20,2.82,,,,,,
