Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-05-04_DayMaxProfit,2026-05-04_DayMaxLoss,2026-05-04_MaxProfit,2026-05-04_MaxLoss,2026-05-04_MaxDrawdown,2026-05-04_CurrentPnL,2026-05-05_DayMaxProfit,2026-05-05_DayMaxLoss,2026-05-05_MaxProfit,2026-05-05_MaxLoss,2026-05-05_MaxDrawdown,2026-05-05_CurrentPnL,2026-05-06_DayMaxProfit,2026-05-06_DayMaxLoss,2026-05-06_MaxProfit,2026-05-06_MaxLoss,2026-05-06_MaxDrawdown,2026-05-06_CurrentPnL,2026-05-07_DayMaxProfit,2026-05-07_DayMaxLoss,2026-05-07_MaxProfit,2026-05-07_MaxLoss,2026-05-07_MaxDrawdown,2026-05-07_CurrentPnL,2026-05-08_DayMaxProfit,2026-05-08_DayMaxLoss,2026-05-08_MaxProfit,2026-05-08_MaxLoss,2026-05-08_MaxDrawdown,2026-05-08_CurrentPnL,2026-05-11_DayMaxProfit,2026-05-11_DayMaxLoss,2026-05-11_MaxProfit,2026-05-11_MaxLoss,2026-05-11_MaxDrawdown,2026-05-11_CurrentPnL,2026-05-12_DayMaxProfit,2026-05-12_DayMaxLoss,2026-05-12_MaxProfit,2026-05-12_MaxLoss,2026-05-12_MaxDrawdown,2026-05-12_CurrentPnL,2026-05-13_DayMaxProfit,2026-05-13_DayMaxLoss,2026-05-13_MaxProfit,2026-05-13_MaxLoss,2026-05-13_MaxDrawdown,2026-05-13_CurrentPnL,2026-05-14_DayMaxProfit,2026-05-14_DayMaxLoss,2026-05-14_MaxProfit,2026-05-14_MaxLoss,2026-05-14_MaxDrawdown,2026-05-14_CurrentPnL,2026-05-15_DayMaxProfit,2026-05-15_DayMaxLoss,2026-05-15_MaxProfit,2026-05-15_MaxLoss,2026-05-15_MaxDrawdown,2026-05-15_CurrentPnL,2026-05-18_DayMaxProfit,2026-05-18_DayMaxLoss,2026-05-18_MaxProfit,2026-05-18_MaxLoss,2026-05-18_MaxDrawdown,2026-05-18_CurrentPnL,2026-05-19_DayMaxProfit,2026-05-19_DayMaxLoss,2026-05-19_MaxProfit,2026-05-19_MaxLoss,2026-05-19_MaxDrawdown,2026-05-19_CurrentPnL,2026-05-20_DayMaxProfit,2026-05-20_DayMaxLoss,2026-05-20_MaxProfit,2026-05-20_MaxLoss,2026-05-20_MaxDrawdown,2026-05-20_CurrentPnL,2026-05-21_DayMaxProfit,2026-05-21_DayMaxLoss,2026-05-21_MaxProfit,2026-05-21_MaxLoss,2026-05-21_MaxDrawdown,2026-05-21_CurrentPnL,2026-05-22_DayMaxProfit,2026-05-22_DayMaxLoss,2026-05-22_MaxProfit,2026-05-22_MaxLoss,2026-05-22_MaxDrawdown,2026-05-22_CurrentPnL,2026-05-26_DayMaxProfit,2026-05-26_DayMaxLoss,2026-05-26_MaxProfit,2026-05-26_MaxLoss,2026-05-26_MaxDrawdown,2026-05-26_CurrentPnL,2026-05-27_DayMaxProfit,2026-05-27_DayMaxLoss,2026-05-27_MaxProfit,2026-05-27_MaxLoss,2026-05-27_MaxDrawdown,2026-05-27_CurrentPnL,2026-05-28_DayMaxProfit,2026-05-28_DayMaxLoss,2026-05-28_MaxProfit,2026-05-28_MaxLoss,2026-05-28_MaxDrawdown,2026-05-28_CurrentPnL,2026-05-29_DayMaxProfit,2026-05-29_DayMaxLoss,2026-05-29_MaxProfit,2026-05-29_MaxLoss,2026-05-29_MaxDrawdown,2026-05-29_CurrentPnL,2026-06-01_DayMaxProfit,2026-06-01_DayMaxLoss,2026-06-01_MaxProfit,2026-06-01_MaxLoss,2026-06-01_MaxDrawdown,2026-06-01_CurrentPnL,2026-06-02_DayMaxProfit,2026-06-02_DayMaxLoss,2026-06-02_MaxProfit,2026-06-02_MaxLoss,2026-06-02_MaxDrawdown,2026-06-02_CurrentPnL,2026-06-03_DayMaxProfit,2026-06-03_DayMaxLoss,2026-06-03_MaxProfit,2026-06-03_MaxLoss,2026-06-03_MaxDrawdown,2026-06-03_CurrentPnL,2026-06-04_DayMaxProfit,2026-06-04_DayMaxLoss,2026-06-04_MaxProfit,2026-06-04_MaxLoss,2026-06-04_MaxDrawdown,2026-06-04_CurrentPnL,2026-06-05_DayMaxProfit,2026-06-05_DayMaxLoss,2026-06-05_MaxProfit,2026-06-05_MaxLoss,2026-06-05_MaxDrawdown,2026-06-05_CurrentPnL
VRT,Sell,328.24,302.4110296708636,TP Hit,302.4110296708636,2026-06-05,2.07,-1.43,2.07,-1.43,-3.50,-0.83,-0.72,-3.92,2.07,-3.92,-5.99,-3.89,-4.69,-9.63,2.07,-9.63,-11.70,-9.35,-2.42,-9.37,2.07,-9.63,-11.70,-3.59,-3.49,-6.93,2.07,-9.63,-11.70,-3.57,-4.20,-13.33,2.07,-13.33,-15.40,-12.09,-6.33,-12.80,2.07,-13.33,-15.40,-11.85,-9.95,-15.09,2.07,-15.09,-17.16,-12.72,-11.24,-15.75,2.07,-15.75,-17.82,-14.62,-8.54,-13.91,2.07,-15.75,-17.82,-13.01,-0.76,-12.81,2.07,-15.75,-17.82,-3.50,4.23,-1.95,4.23,-15.75,-17.82,1.71,4.26,-0.36,4.26,-15.75,-17.82,3.83,2.82,-0.64,4.26,-15.75,-17.82,1.47,1.29,-2.03,4.26,-15.75,-17.82,0.24,1.52,-4.59,4.26,-15.75,-17.82,1.32,5.53,0.63,5.53,-15.75,-17.82,2.58,6.38,2.30,6.38,-15.75,-17.82,4.28,6.17,2.64,6.38,-15.75,-17.82,3.82,4.60,-0.10,6.38,-15.75,-17.82,1.48,-0.91,-5.16,6.38,-15.75,-17.82,-1.90,0.44,-4.69,6.38,-15.75,-17.82,-0.97,6.78,0.42,6.78,-15.75,-17.82,1.32,7.87,4.03,7.87,-15.75,-17.82,7.87
LII,Sell,525.07,514.6153067905412,TP Hit,514.6153067905412,2026-05-04,1.99,-1.10,1.99,-1.10,-3.10,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COKE,Sell,203.63,189.50087137941787,TP Hit,189.50087137941787,2026-05-07,1.59,-3.15,1.59,-3.15,-4.73,-3.02,-2.88,-5.88,1.59,-5.88,-7.47,-5.78,-1.22,-7.42,1.59,-7.42,-9.01,-3.38,6.94,-2.02,6.94,-7.42,-9.01,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
