Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-06-03_DayMaxProfit,2026-06-03_DayMaxLoss,2026-06-03_MaxProfit,2026-06-03_MaxLoss,2026-06-03_MaxDrawdown,2026-06-03_CurrentPnL,2026-06-04_DayMaxProfit,2026-06-04_DayMaxLoss,2026-06-04_MaxProfit,2026-06-04_MaxLoss,2026-06-04_MaxDrawdown,2026-06-04_CurrentPnL,2026-06-05_DayMaxProfit,2026-06-05_DayMaxLoss,2026-06-05_MaxProfit,2026-06-05_MaxLoss,2026-06-05_MaxDrawdown,2026-06-05_CurrentPnL,2026-06-08_DayMaxProfit,2026-06-08_DayMaxLoss,2026-06-08_MaxProfit,2026-06-08_MaxLoss,2026-06-08_MaxDrawdown,2026-06-08_CurrentPnL,2026-06-09_DayMaxProfit,2026-06-09_DayMaxLoss,2026-06-09_MaxProfit,2026-06-09_MaxLoss,2026-06-09_MaxDrawdown,2026-06-09_CurrentPnL,2026-06-10_DayMaxProfit,2026-06-10_DayMaxLoss,2026-06-10_MaxProfit,2026-06-10_MaxLoss,2026-06-10_MaxDrawdown,2026-06-10_CurrentPnL,2026-06-11_DayMaxProfit,2026-06-11_DayMaxLoss,2026-06-11_MaxProfit,2026-06-11_MaxLoss,2026-06-11_MaxDrawdown,2026-06-11_CurrentPnL,2026-06-12_DayMaxProfit,2026-06-12_DayMaxLoss,2026-06-12_MaxProfit,2026-06-12_MaxLoss,2026-06-12_MaxDrawdown,2026-06-12_CurrentPnL,2026-06-15_DayMaxProfit,2026-06-15_DayMaxLoss,2026-06-15_MaxProfit,2026-06-15_MaxLoss,2026-06-15_MaxDrawdown,2026-06-15_CurrentPnL,2026-06-16_DayMaxProfit,2026-06-16_DayMaxLoss,2026-06-16_MaxProfit,2026-06-16_MaxLoss,2026-06-16_MaxDrawdown,2026-06-16_CurrentPnL,2026-06-17_DayMaxProfit,2026-06-17_DayMaxLoss,2026-06-17_MaxProfit,2026-06-17_MaxLoss,2026-06-17_MaxDrawdown,2026-06-17_CurrentPnL,2026-06-18_DayMaxProfit,2026-06-18_DayMaxLoss,2026-06-18_MaxProfit,2026-06-18_MaxLoss,2026-06-18_MaxDrawdown,2026-06-18_CurrentPnL,2026-06-22_DayMaxProfit,2026-06-22_DayMaxLoss,2026-06-22_MaxProfit,2026-06-22_MaxLoss,2026-06-22_MaxDrawdown,2026-06-22_CurrentPnL,2026-06-23_DayMaxProfit,2026-06-23_DayMaxLoss,2026-06-23_MaxProfit,2026-06-23_MaxLoss,2026-06-23_MaxDrawdown,2026-06-23_CurrentPnL,2026-06-24_DayMaxProfit,2026-06-24_DayMaxLoss,2026-06-24_MaxProfit,2026-06-24_MaxLoss,2026-06-24_MaxDrawdown,2026-06-24_CurrentPnL,2026-06-25_DayMaxProfit,2026-06-25_DayMaxLoss,2026-06-25_MaxProfit,2026-06-25_MaxLoss,2026-06-25_MaxDrawdown,2026-06-25_CurrentPnL,2026-06-26_DayMaxProfit,2026-06-26_DayMaxLoss,2026-06-26_MaxProfit,2026-06-26_MaxLoss,2026-06-26_MaxDrawdown,2026-06-26_CurrentPnL,2026-06-29_DayMaxProfit,2026-06-29_DayMaxLoss,2026-06-29_MaxProfit,2026-06-29_MaxLoss,2026-06-29_MaxDrawdown,2026-06-29_CurrentPnL,2026-06-30_DayMaxProfit,2026-06-30_DayMaxLoss,2026-06-30_MaxProfit,2026-06-30_MaxLoss,2026-06-30_MaxDrawdown,2026-06-30_CurrentPnL,2026-07-01_DayMaxProfit,2026-07-01_DayMaxLoss,2026-07-01_MaxProfit,2026-07-01_MaxLoss,2026-07-01_MaxDrawdown,2026-07-01_CurrentPnL,2026-07-02_DayMaxProfit,2026-07-02_DayMaxLoss,2026-07-02_MaxProfit,2026-07-02_MaxLoss,2026-07-02_MaxDrawdown,2026-07-02_CurrentPnL,2026-07-06_DayMaxProfit,2026-07-06_DayMaxLoss,2026-07-06_MaxProfit,2026-07-06_MaxLoss,2026-07-06_MaxDrawdown,2026-07-06_CurrentPnL,2026-07-07_DayMaxProfit,2026-07-07_DayMaxLoss,2026-07-07_MaxProfit,2026-07-07_MaxLoss,2026-07-07_MaxDrawdown,2026-07-07_CurrentPnL,2026-07-08_DayMaxProfit,2026-07-08_DayMaxLoss,2026-07-08_MaxProfit,2026-07-08_MaxLoss,2026-07-08_MaxDrawdown,2026-07-08_CurrentPnL,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL
PM,Buy,172.23,186.66,TP Hit,189.19,2026-07-07,3.88,0.74,3.88,0.74,-3.15,2.15,4.10,1.45,4.10,0.74,-3.15,1.60,4.72,1.65,4.72,0.74,-3.15,3.52,4.51,1.29,4.72,0.74,-3.43,2.22,4.02,0.10,4.72,0.10,-4.62,3.63,6.32,4.06,6.32,0.10,-4.62,6.22,7.36,4.64,7.36,0.10,-4.62,4.96,7.48,4.76,7.48,0.10,-4.62,7.01,6.79,4.88,7.48,0.10,-4.62,5.56,8.12,5.28,8.12,0.10,-4.62,6.87,6.17,3.63,8.12,0.10,-4.62,4.19,4.78,2.79,8.12,0.10,-5.33,3.58,3.87,0.03,8.12,0.03,-8.09,0.55,4.15,1.96,8.12,0.03,-8.09,3.75,4.55,2.51,8.12,0.03,-8.09,3.80,4.95,2.10,8.12,0.03,-8.09,3.89,6.03,4.08,8.12,0.03,-8.09,4.96,6.43,4.31,8.12,0.03,-8.09,6.18,8.00,3.93,8.12,0.03,-8.09,5.04,5.41,2.48,8.12,0.03,-8.09,3.17,6.74,4.23,8.12,0.03,-8.09,5.83,7.41,5.43,8.12,0.03,-8.09,7.28,9.85,9.85,9.85,0.03,-8.09,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRG,Buy,133.51,139.29,TP Hit,139.29,2026-06-18,2.57,-1.15,2.57,-1.15,-3.72,0.19,1.00,-1.92,2.57,-1.92,-4.49,-0.09,-1.02,-4.25,2.57,-4.25,-6.82,-3.23,-2.87,-4.64,2.57,-4.64,-7.21,-4.34,-1.57,-6.04,2.57,-6.04,-8.61,-2.66,-4.06,-10.04,2.57,-10.04,-12.61,-9.63,-6.86,-9.71,2.57,-10.04,-12.61,-7.35,-2.63,-7.20,2.57,-10.04,-12.61,-6.02,-1.56,-5.30,2.57,-10.04,-12.61,-2.33,1.52,-2.25,2.57,-10.04,-12.61,-1.06,1.28,-2.01,2.57,-10.04,-12.61,-1.03,4.33,-0.24,4.33,-10.04,-12.61,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYNN,Sell,104.62,97.70354942992581,TP Hit,97.70354942992581,2026-06-30,2.06,-1.62,2.06,-1.62,-3.68,-0.32,1.31,-1.22,2.06,-1.62,-3.68,0.97,1.42,-1.57,2.06,-1.62,-3.68,0.13,1.27,-1.25,2.06,-1.62,-3.68,-0.20,-0.37,-5.30,2.06,-5.30,-7.36,-2.70,-0.34,-3.57,2.06,-5.30,-7.36,-0.61,0.69,-3.08,2.06,-5.30,-7.36,-2.99,-2.11,-6.38,2.06,-6.38,-8.44,-2.53,-0.93,-5.74,2.06,-6.38,-8.44,-1.28,1.09,-2.18,2.06,-6.38,-8.44,0.91,2.43,-0.47,2.43,-6.38,-8.44,2.21,1.23,-2.04,2.43,-6.38,-8.44,-0.87,1.55,-0.41,2.43,-6.38,-8.44,0.96,1.88,-0.71,2.43,-6.38,-8.44,0.45,0.98,-1.56,2.43,-6.38,-8.44,0.83,5.85,0.24,5.85,-6.38,-8.44,5.01,6.04,2.92,6.04,-6.38,-8.44,4.00,5.17,2.64,6.04,-6.38,-8.44,4.97,6.61,4.87,6.61,-6.38,-8.44,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM,Buy,125.11,126.21,TP Hit,126.59,2026-06-03,1.18,1.18,1.18,1.18,0.00,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKS,Sell,40.22,36.003240966796874,Open,,,5.15,1.44,5.15,1.44,-3.70,2.86,1.69,-1.47,5.15,-1.47,-6.62,-1.39,1.74,-3.63,5.15,-3.63,-8.78,-1.37,-1.12,-7.71,5.15,-7.71,-12.86,-4.53,-3.88,-10.84,5.15,-10.84,-15.99,-10.67,-9.17,-16.48,5.15,-16.48,-21.63,-9.60,-10.84,-15.86,5.15,-16.48,-21.63,-15.46,-11.66,-15.51,5.15,-16.48,-21.63,-12.26,-12.16,-15.96,5.15,-16.48,-21.63,-15.02,-13.05,-17.01,5.15,-17.01,-22.16,-14.35,-13.53,-17.38,5.15,-17.38,-22.53,-14.07,-15.32,-20.61,5.15,-20.61,-25.76,-15.96,-13.53,-16.24,5.15,-20.61,-25.76,-14.47,-11.41,-16.11,5.15,-20.61,-25.76,-15.04,-14.94,-19.64,5.15,-20.61,-25.76,-16.53,-13.67,-20.04,5.15,-20.61,-25.76,-15.37,-14.35,-17.23,5.15,-20.61,-25.76,-17.16,-15.32,-18.32,5.15,-20.61,-25.76,-16.04,-14.97,-19.47,5.15,-20.61,-25.76,-18.70,-16.36,-21.58,5.15,-21.58,-26.73,-17.16,-18.27,-20.66,5.15,-21.58,-26.73,-20.44,-14.84,-22.30,5.15,-22.30,-27.45,-17.33,-16.16,-18.92,5.15,-22.30,-27.45,-17.75,-12.03,-17.28,5.15,-22.30,-27.45,-13.30,-11.93,-16.81,5.15,-22.30,-27.45,-13.50,-15.86,-19.09,5.15,-22.30,-27.45,-16.53,-15.51,-19.12,5.15,-22.30,-27.45,-16.36,-15.14,-18.13,5.15,-22.30,-27.45,-16.56,-16.86,-20.89,5.15,-22.30,-27.45,-17.85,-15.49,-20.81,5.15,-22.30,-27.45,-17.06,-11.34,-18.82,5.15,-22.30,-27.45,-12.16,-10.49,-14.37,5.15,-22.30,-27.45,-10.84,-10.00,-14.10,5.15,-22.30,-27.45,-14.10,-11.01,-15.34,5.15,-22.30,-27.45,-12.56,-7.31,-10.52,5.15,-22.30,-27.45,-9.67,-9.32,-13.35,5.15,-22.30,-27.45,-11.46,-8.35,-14.59,5.15,-22.30,-27.45,-12.03,-12.56,-16.81,5.15,-22.30,-27.45,-16.81,-13.28,-18.15,5.15,-22.30,-27.45,-15.76,-11.64,-16.88,5.15,-22.30,-27.45,-13.23,-8.68,-15.89,5.15,-22.30,-27.45,-10.96,-10.94,-14.99,5.15,-22.30,-27.45,-13.15,-9.60,-24.32,5.15,-24.32,-29.47,-14.79
