Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-06-05_DayMaxProfit,2026-06-05_DayMaxLoss,2026-06-05_MaxProfit,2026-06-05_MaxLoss,2026-06-05_MaxDrawdown,2026-06-05_CurrentPnL,2026-06-08_DayMaxProfit,2026-06-08_DayMaxLoss,2026-06-08_MaxProfit,2026-06-08_MaxLoss,2026-06-08_MaxDrawdown,2026-06-08_CurrentPnL,2026-06-09_DayMaxProfit,2026-06-09_DayMaxLoss,2026-06-09_MaxProfit,2026-06-09_MaxLoss,2026-06-09_MaxDrawdown,2026-06-09_CurrentPnL,2026-06-10_DayMaxProfit,2026-06-10_DayMaxLoss,2026-06-10_MaxProfit,2026-06-10_MaxLoss,2026-06-10_MaxDrawdown,2026-06-10_CurrentPnL,2026-06-11_DayMaxProfit,2026-06-11_DayMaxLoss,2026-06-11_MaxProfit,2026-06-11_MaxLoss,2026-06-11_MaxDrawdown,2026-06-11_CurrentPnL,2026-06-12_DayMaxProfit,2026-06-12_DayMaxLoss,2026-06-12_MaxProfit,2026-06-12_MaxLoss,2026-06-12_MaxDrawdown,2026-06-12_CurrentPnL,2026-06-15_DayMaxProfit,2026-06-15_DayMaxLoss,2026-06-15_MaxProfit,2026-06-15_MaxLoss,2026-06-15_MaxDrawdown,2026-06-15_CurrentPnL,2026-06-16_DayMaxProfit,2026-06-16_DayMaxLoss,2026-06-16_MaxProfit,2026-06-16_MaxLoss,2026-06-16_MaxDrawdown,2026-06-16_CurrentPnL,2026-06-17_DayMaxProfit,2026-06-17_DayMaxLoss,2026-06-17_MaxProfit,2026-06-17_MaxLoss,2026-06-17_MaxDrawdown,2026-06-17_CurrentPnL,2026-06-18_DayMaxProfit,2026-06-18_DayMaxLoss,2026-06-18_MaxProfit,2026-06-18_MaxLoss,2026-06-18_MaxDrawdown,2026-06-18_CurrentPnL,2026-06-22_DayMaxProfit,2026-06-22_DayMaxLoss,2026-06-22_MaxProfit,2026-06-22_MaxLoss,2026-06-22_MaxDrawdown,2026-06-22_CurrentPnL,2026-06-23_DayMaxProfit,2026-06-23_DayMaxLoss,2026-06-23_MaxProfit,2026-06-23_MaxLoss,2026-06-23_MaxDrawdown,2026-06-23_CurrentPnL,2026-06-24_DayMaxProfit,2026-06-24_DayMaxLoss,2026-06-24_MaxProfit,2026-06-24_MaxLoss,2026-06-24_MaxDrawdown,2026-06-24_CurrentPnL,2026-06-25_DayMaxProfit,2026-06-25_DayMaxLoss,2026-06-25_MaxProfit,2026-06-25_MaxLoss,2026-06-25_MaxDrawdown,2026-06-25_CurrentPnL,2026-06-26_DayMaxProfit,2026-06-26_DayMaxLoss,2026-06-26_MaxProfit,2026-06-26_MaxLoss,2026-06-26_MaxDrawdown,2026-06-26_CurrentPnL,2026-06-29_DayMaxProfit,2026-06-29_DayMaxLoss,2026-06-29_MaxProfit,2026-06-29_MaxLoss,2026-06-29_MaxDrawdown,2026-06-29_CurrentPnL,2026-06-30_DayMaxProfit,2026-06-30_DayMaxLoss,2026-06-30_MaxProfit,2026-06-30_MaxLoss,2026-06-30_MaxDrawdown,2026-06-30_CurrentPnL,2026-07-01_DayMaxProfit,2026-07-01_DayMaxLoss,2026-07-01_MaxProfit,2026-07-01_MaxLoss,2026-07-01_MaxDrawdown,2026-07-01_CurrentPnL,2026-07-02_DayMaxProfit,2026-07-02_DayMaxLoss,2026-07-02_MaxProfit,2026-07-02_MaxLoss,2026-07-02_MaxDrawdown,2026-07-02_CurrentPnL,2026-07-06_DayMaxProfit,2026-07-06_DayMaxLoss,2026-07-06_MaxProfit,2026-07-06_MaxLoss,2026-07-06_MaxDrawdown,2026-07-06_CurrentPnL,2026-07-07_DayMaxProfit,2026-07-07_DayMaxLoss,2026-07-07_MaxProfit,2026-07-07_MaxLoss,2026-07-07_MaxDrawdown,2026-07-07_CurrentPnL,2026-07-08_DayMaxProfit,2026-07-08_DayMaxLoss,2026-07-08_MaxProfit,2026-07-08_MaxLoss,2026-07-08_MaxDrawdown,2026-07-08_CurrentPnL,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL
KEYS,Sell,343.11,333.8838259277344,TP Hit,333.8838259277344,2026-06-05,2.69,1.23,2.69,1.23,-1.46,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVNA,Buy,66.19,71.8,TP Hit,71.8,2026-06-09,3.44,-1.72,3.44,-1.72,-5.17,0.48,5.82,0.50,5.82,-1.72,-5.32,4.93,8.48,1.53,8.48,-1.72,-6.95,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMG,Buy,30.0,31.99,Open,,,1.67,-2.60,1.67,-2.60,-4.27,-0.23,1.57,-1.51,1.67,-2.60,-4.27,0.03,0.63,-3.23,1.67,-3.23,-4.90,-2.13,-1.40,-4.57,1.67,-4.57,-6.24,-4.37,-1.03,-5.93,1.67,-5.93,-7.60,-4.83,-4.57,-6.32,1.67,-6.32,-7.99,-5.13,-3.25,-5.20,1.67,-6.32,-7.99,-5.03,-3.17,-6.15,1.67,-6.32,-7.99,-3.97,-2.85,-5.48,1.67,-6.32,-7.99,-4.93,-4.77,-7.00,1.67,-7.00,-8.67,-6.10,-6.88,-9.83,1.67,-9.83,-11.50,-8.43,-6.77,-8.88,1.67,-9.83,-11.50,-8.20,-7.18,-10.53,1.67,-10.53,-12.20,-10.23,-9.68,-12.58,1.67,-12.58,-14.25,-12.37,-9.77,-12.67,1.67,-12.67,-14.34,-10.13,-9.80,-12.17,1.67,-12.67,-14.34,-11.37,-9.37,-12.68,1.67,-12.68,-14.35,-9.77,-6.17,-9.47,1.67,-12.68,-14.35,-7.67,-5.73,-8.40,1.67,-12.68,-14.35,-5.73,-5.83,-9.77,1.67,-12.68,-14.35,-8.67,-4.13,-7.57,1.67,-12.68,-14.35,-5.20,-2.73,-5.97,1.67,-12.68,-14.35,-3.70,-2.70,-6.03,1.67,-12.68,-14.35,-2.87,-1.43,-4.07,1.67,-12.68,-14.35,-3.37,-1.57,-4.73,1.67,-12.68,-14.35,-4.17,-4.70,-8.17,1.67,-12.68,-14.35,-8.07,-4.23,-8.05,1.67,-12.68,-14.35,-5.63,-4.70,-5.87,1.67,-12.68,-14.35,-4.83,-4.80,-7.63,1.67,-12.68,-14.35,-5.57,-4.67,-6.53,1.67,-12.68,-14.35,-6.47,-5.20,-7.67,1.67,-12.68,-14.35,-6.85,-6.07,-8.90,1.67,-12.68,-14.35,-8.73,-8.87,-12.10,1.67,-12.68,-14.35,-11.33,-9.10,-11.63,1.67,-12.68,-14.35,-11.50,-7.00,-10.20,1.67,-12.68,-14.35,-7.97,-3.90,-7.05,1.67,-12.68,-14.35,-4.13,-0.43,-4.27,1.67,-12.68,-14.35,-2.67,-3.43,-11.73,1.67,-12.68,-14.35,-8.13,-10.57,-13.89,1.67,-13.89,-15.56,-13.47,-7.50,-16.47,1.67,-16.47,-18.14,-16.33,-13.80,-17.02,1.67,-17.02,-18.69,-14.00,-12.83,-16.17,1.67,-17.02,-18.69,-13.33
AFRM,Buy,68.7,71.44,TP Hit,71.44,2026-06-15,-0.84,-9.11,-0.84,-9.11,-9.11,-7.41,-3.67,-9.05,-0.84,-9.11,-9.11,-4.72,-0.00,-8.53,-0.00,-9.11,-9.11,-5.23,-3.62,-8.73,0.00,-9.11,-9.11,-8.57,-3.13,-10.95,0.00,-10.95,-10.95,-3.22,-1.75,-6.67,0.00,-10.95,-10.95,-3.68,3.99,-0.33,3.99,-10.95,-10.95,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROKU,Buy,125.59,129.83,TP Hit,129.83,2026-06-12,1.48,-3.93,1.48,-3.93,-5.41,-2.65,0.41,-2.40,1.48,-3.93,-5.41,-1.61,1.24,-6.02,1.48,-6.02,-7.50,-3.73,-3.56,-7.21,1.48,-7.21,-8.69,-6.89,-4.37,-8.43,1.48,-8.43,-9.91,-4.74,3.38,-4.72,3.38,-8.43,-9.91,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEX,Sell,62.49,56.065007549927714,Open,,,4.56,0.24,4.56,0.24,-4.32,3.31,2.78,-0.91,4.56,-0.91,-5.47,-0.34,0.45,-5.54,4.56,-5.54,-10.10,-1.89,4.83,-1.89,4.83,-5.54,-10.10,4.77,3.50,-1.30,4.83,-5.54,-10.10,-0.46,-0.22,-3.58,4.83,-5.54,-10.10,-2.10,-4.11,-7.22,4.83,-7.22,-12.05,-4.48,-3.36,-6.96,4.83,-7.22,-12.05,-3.95,-2.13,-7.47,4.83,-7.47,-12.30,-2.70,-4.59,-8.40,4.83,-8.40,-13.23,-6.93,-5.74,-11.87,4.83,-11.87,-16.70,-10.32,-6.00,-12.77,4.83,-12.77,-17.60,-8.72,-8.82,-13.14,4.83,-13.14,-17.97,-12.18,-14.23,-19.52,4.83,-19.52,-24.35,-19.35,-14.10,-18.95,4.83,-19.52,-24.35,-14.91,-12.02,-17.73,4.83,-19.52,-24.35,-17.73,-15.25,-18.88,4.83,-19.52,-24.35,-15.84,-9.92,-15.57,4.83,-19.52,-24.35,-9.94,-6.53,-12.59,4.83,-19.52,-24.35,-9.07,-8.48,-12.13,4.83,-19.52,-24.35,-11.35,-4.90,-10.63,4.83,-19.52,-24.35,-6.59,-1.65,-6.06,4.83,-19.52,-24.35,-2.85,-3.36,-6.22,4.83,-19.52,-24.35,-3.42,-3.55,-9.38,4.83,-19.52,-24.35,-7.97,-4.75,-10.08,4.83,-19.52,-24.35,-4.99,-3.12,-8.99,4.83,-19.52,-24.35,-4.35,-1.60,-5.52,4.83,-19.52,-24.35,-4.85,-3.09,-6.98,4.83,-19.52,-24.35,-5.23,-1.54,-5.89,4.83,-19.52,-24.35,-4.64,-0.61,-6.37,4.83,-19.52,-24.35,-0.69,-0.58,-5.63,4.83,-19.52,-24.35,-3.65,-3.70,-8.19,4.83,-19.52,-24.35,-7.33,-7.19,-10.99,4.83,-19.52,-24.35,-9.65,-8.47,-12.51,4.83,-19.52,-24.35,-11.75,-8.51,-14.42,4.83,-19.52,-24.35,-10.51,-8.11,-11.39,4.83,-19.52,-24.35,-9.86,-1.78,-8.59,4.83,-19.52,-24.35,-3.31,3.28,-4.86,4.83,-19.52,-24.35,0.43,0.78,-3.81,4.83,-19.52,-24.35,-0.56,-1.41,-3.84,4.83,-19.52,-24.35,-3.07,-3.73,-7.54,4.83,-19.52,-24.35,-5.74,-5.34,-7.54,4.83,-19.52,-24.35,-5.70
CBZ,Buy,33.35,34.08,TP Hit,34.08,2026-06-05,2.19,0.54,2.19,0.54,-1.65,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZTA,Sell,22.84,19.113640556335447,Open,,,3.06,-0.74,3.06,-0.74,-3.81,0.66,2.63,-1.49,3.06,-1.49,-4.55,0.57,2.71,-2.50,3.06,-2.50,-5.56,0.53,2.10,-1.66,3.06,-2.50,-5.56,2.01,4.68,0.48,4.68,-2.50,-5.56,1.66,1.93,-1.31,4.68,-2.50,-5.99,1.09,0.66,-2.19,4.68,-2.50,-6.87,-0.48,0.09,-2.45,4.68,-2.50,-7.13,-1.27,0.88,-4.42,4.68,-4.42,-9.10,0.70,1.40,-3.33,4.68,-4.42,-9.10,-2.06,2.85,-3.37,4.68,-4.42,-9.10,2.50,3.72,1.05,4.68,-4.42,-9.10,2.80,2.71,-4.64,4.68,-4.64,-9.32,-4.47,-5.21,-10.68,4.68,-10.68,-15.36,-7.84,-6.00,-12.70,4.68,-12.70,-17.38,-11.65,-10.16,-13.13,4.68,-13.13,-17.81,-11.69,-9.19,-12.17,4.68,-13.13,-17.81,-11.73,-10.60,-18.43,4.68,-18.43,-23.11,-14.67,-12.52,-17.34,4.68,-18.43,-23.11,-13.13,-9.81,-14.01,4.68,-18.43,-23.11,-12.39,-7.92,-13.88,4.68,-18.43,-23.11,-11.08,-6.17,-10.90,4.68,-18.43,-23.11,-7.31,-7.09,-11.95,4.68,-18.43,-23.11,-11.30,-9.54,-13.35,4.68,-18.43,-23.11,-11.03,-9.28,-15.63,4.68,-18.43,-23.11,-14.05,-8.80,-14.49,4.68,-18.43,-23.11,-11.38,-12.04,-18.13,4.68,-18.43,-23.11,-16.94,-14.89,-17.86,4.68,-18.43,-23.11,-17.25,-13.31,-17.82,4.68,-18.43,-23.11,-15.11,-13.40,-15.81,4.68,-18.43,-23.11,-14.97,-10.25,-18.78,4.68,-18.78,-23.46,-16.42,-14.58,-19.18,4.68,-19.18,-23.86,-18.91,-19.09,-24.08,4.68,-24.08,-28.76,-23.91,-19.61,-23.86,4.68,-24.08,-28.76,-19.83,-18.91,-22.85,4.68,-24.08,-28.76,-20.49,-21.50,-27.15,4.68,-27.15,-31.83,-26.66,-23.07,-27.15,4.68,-27.15,-31.83,-23.82,-20.84,-26.36,4.68,-27.15,-31.83,-26.09,-21.80,-27.15,4.68,-27.15,-31.83,-23.16,-21.54,-32.36,4.68,-32.36,-37.04,-30.82,-27.23,-32.66,4.68,-32.66,-37.34,-31.92,-27.89,-40.63,4.68,-40.63,-45.31,-39.32
