Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-05-29_DayMaxProfit,2026-05-29_DayMaxLoss,2026-05-29_MaxProfit,2026-05-29_MaxLoss,2026-05-29_MaxDrawdown,2026-05-29_CurrentPnL,2026-06-01_DayMaxProfit,2026-06-01_DayMaxLoss,2026-06-01_MaxProfit,2026-06-01_MaxLoss,2026-06-01_MaxDrawdown,2026-06-01_CurrentPnL,2026-06-02_DayMaxProfit,2026-06-02_DayMaxLoss,2026-06-02_MaxProfit,2026-06-02_MaxLoss,2026-06-02_MaxDrawdown,2026-06-02_CurrentPnL,2026-06-03_DayMaxProfit,2026-06-03_DayMaxLoss,2026-06-03_MaxProfit,2026-06-03_MaxLoss,2026-06-03_MaxDrawdown,2026-06-03_CurrentPnL,2026-06-04_DayMaxProfit,2026-06-04_DayMaxLoss,2026-06-04_MaxProfit,2026-06-04_MaxLoss,2026-06-04_MaxDrawdown,2026-06-04_CurrentPnL,2026-06-05_DayMaxProfit,2026-06-05_DayMaxLoss,2026-06-05_MaxProfit,2026-06-05_MaxLoss,2026-06-05_MaxDrawdown,2026-06-05_CurrentPnL
BBIO,Buy,68.45,69.48,TP Hit,69.48,2026-06-05,-0.44,-3.37,-0.44,-3.37,-3.37,-3.20,-1.59,-4.71,-0.44,-4.71,-4.71,-4.51,-4.92,-8.69,-0.44,-8.69,-8.69,-6.68,-3.81,-8.39,-0.44,-8.69,-8.69,-4.34,0.04,-4.83,0.04,-8.69,-8.69,-1.64,1.50,-2.72,1.50,-8.69,-8.69,1.50
PLUS,Sell,88.36,82.95428341403863,TP Hit,82.95428341403863,2026-05-29,6.12,2.97,6.12,2.97,-3.15,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
